SRR11784031	SRR11784026	SRR11784028	SRR11784030	SRR11784027	SRR11784029	SRR11784032
5431	790	1900	691	483	1263	520	215
7175	14	31	58	124	46	53	38
1356	45	151	54	68	96	89	30
23247	8	21	18	40	17	18	17
7504	0	0	0	0	1	0	3
6322	0	0	0	2	1	2	4
55841	8	17	1	37	32	7	36
395	35	38	40	83	49	36	97
4134	39	98	103	214	117	105	88
6098	0	1	0	0	1	1	0
9734	7	26	9	18	6	3	5
608	23	61	52	42	58	51	35
55885	11	25	32	20	32	17	10
55173	1	11	3	8	5	0	1
51773	7	29	23	65	25	42	30
55187	13	44	59	93	80	60	65
23196	15	44	25	75	68	49	62
1298	13	11	21	37	29	15	56
4254	3	8	10	18	9	10	6
1161	0	2	4	6	12	7	2
11174	0	2	1	3	0	3	2
9563	8	14	23	36	26	28	51
9341	3	8	5	6	12	7	8
8863	4	23	31	20	35	32	10
10911	201	267	239	97	322	374	43
3604	0	0	0	0	0	0	0
55040	16	24	17	47	24	24	26
4052	16	35	9	50	24	9	29
5954	1	2	5	4	2	7	5
2006	30	26	20	44	28	24	379
5982	0	4	5	3	4	1	3
23327	29	51	102	192	83	131	129
50943	2	26	9	15	24	8	8
3074	70	133	57	55	86	60	30
79810	0	3	5	13	2	1	0
27122	198	421	257	211	315	256	96
7984	37	31	26	24	19	39	79
9603	360	903	482	392	547	514	160
63933	8	6	10	38	8	10	17
51474	14	24	30	60	30	22	17
25875	4	2	11	24	9	13	4
9498	5	3	4	9	2	3	14
10319	8	18	11	36	32	9	7
5733	36	143	170	164	148	186	132
79931	0	1	0	0	0	0	0
5601	3	12	3	17	7	4	9
9709	3	19	25	26	36	27	34
9454	1	9	8	20	6	4	15
5888	12	15	16	14	9	19	13
10721	0	0	3	0	0	0	0
5291	2	19	17	14	13	21	15
1535	19	24	28	38	62	34	57
23593	35	90	68	73	79	58	45
10198	10	26	29	16	14	15	15
54477	13	61	80	122	66	81	47
5652	9	26	14	25	25	12	27
23223	1	4	3	9	6	3	8
6307	0	1	3	2	4	6	1
55761	4	22	26	41	26	22	15
60529	3	7	14	20	7	6	9
1112	16	27	34	86	20	31	36
8574	14	33	38	51	26	74	34
51154	86	116	82	93	61	69	58
4826	74	155	131	119	144	123	83
23101	26	58	36	35	45	72	10
83714	165	294	231	356	226	257	200
3909	0	3	6	7	9	1	1
27095	1	13	10	10	6	6	5
9967	19	45	41	100	46	67	59
954	2	14	5	9	5	6	0
